,Organization,Capital Program,Program Subclass,Project Status,Project Title,Project Planning From,Project Planning To,Planned Construction From,Planned Construction To,Construction Completion From,Construction Completion To,Project Description,Project URL,SDE ID,GeoJSON,geo_point_2d,lat,lon,rect,start,end,duration,prior,prior_requests,during_requests
117,City Engineering,Road Rehabilitation,Mill and Pave,Project Complete,Rehabilation of Carnaby Street North,,,2021-03-01,2021-09-14,,,This project includes the removal and replacement of the roadway asphalt and minor curb repairs,,22595," -76.5971794790492, 44.244148047188204, -76.59728676761105, 44.24593113789892, -76.59720093654886, 44.246007993399786, -76.59621388393889, 44.24602336519813, -76.59622461248844, 44.24602336469955, ""type"": ""LineString""}","44.24541251575579,-76.59705080781715",44.24541251575579,-76.59705080781715,"Rectangle(xmin=-76.61076150248317, ymin=44.18595823495852, xmax=-76.58273914906677, ymax=44.30421317742781)",2021-03-01,2021-09-14,197 days 00:00:00.000000000,2020-03-01,1668,2539
118,City Engineering,Road Rehabilitation,Surface Treatment,Under Construction,Single Surface Treatment,,,2021-06-06,2021-08-26,,,The Application of a Single Surface Treatment,,26755," -76.64897234160595, 44.29536487789901, -76.6497861174083, 44.293982886176046, -76.65000069471174, 44.29281561583745, -76.65017235533116, 44.29232412593324, -76.64987194806369, 44.292139816762585, -76.64605248309975, 44.291679039957074, -76.6438637999127, 44.29149472834932, -76.64180386399913, 44.29140257232908, -76.64034474137978, 44.29091107130505, -76.63922894346368, 44.28998949556676, -76.63789856776064, 44.28866854446218, -76.63665402238384, 44.28737828548763, -76.63618195385324, 44.28731684346223, -76.63322079416706, 44.28747044724876, -76.63051712792713, 44.287593330673346, -76.63008797507193, 44.287685492987706, -76.62987339843066, 44.28802341883197, -76.62948715912567, 44.28839206304552, -76.6291438365216, 44.28848422420277, -76.62916529406256, 44.288484224198214, ""type"": ""LineString""}","44.29022773536664,-76.64073979384037",44.29022773536664,-76.64073979384037,"Rectangle(xmin=-76.66364709020328, ymin=44.22890048556061, xmax=-76.61566910164949, ymax=44.35378123580063)",2021-06-06,2021-08-26,81 days 00:00:00.000000000,2020-06-06,304,594
119,City Engineering,Road Rehabilitation,Microsurfacing,Under Construction,Micro surfacing Repair - Centennial Drive,,,2022-06-30,2022-08-14,,,Repair of existing micro surfacing on Centennial Drive between Bath Road and Taylor Kidd Blvd.,,28995," -76.54855006227974, 44.23757134033079, -76.54891484287717, 44.24442748597255, -76.54934817368796, 44.245226805965856, -76.55021721019452, 44.24585703013732, -76.55075365206147, 44.2461260269619, -76.5541976081197, 44.24782451795104, -76.55465894786077, 44.248554623288186, -76.55494862677284, 44.249745829208656, ""type"": ""LineString""}","44.244283391344894,-76.55063632637706",44.244283391344894,-76.55063632637706,"Rectangle(xmin=-76.56842336164496, ymin=44.17956159373237, xmax=-76.53507532740763, ymax=44.30775557580707)",2022-06-30,2022-08-14,45 days 00:00:00.000000000,2021-06-30,1915,237
121,City Engineering,Road Rehabilitation,Surface Treatment,Project Complete,Jackson Mill Rd Surface Treatment,2019-01-01,2019-12-31,2019-01-02,2019-12-31,,,Jackson Mill Rd Surface Treatment,,4388," -76.56718537841539, 44.288624689586364, -76.56727344876387, 44.28844482796598, -76.56824315965235, 44.28712615899779, ""type"": ""LineString""}","44.28786717249905,-76.56770064870715",44.28786717249905,-76.56770064870715,"Rectangle(xmin=-76.58171789452447, ymin=44.22905999383041, xmax=-76.55371064354327, ymax=44.346690854753746)",2019-01-02,2019-12-31,363 days 00:00:00.000000000,2018-01-02,0,367
122,City Engineering,Road Rehabilitation,Mill and Pave,Project Complete,Court St Mill and Pave,2019-01-01,2019-12-31,2019-01-01,2019-12-31,2019-01-01,2019-12-31,Mill and Pave of Court St,,4390," -76.48966492785436, 44.227317872351975, -76.48980927888199, 44.227302499601954, -76.48995459934174, 44.227294946523415, -76.4901001544979, 44.227296988665586, -76.49024472193354, 44.227308608877934, -76.49038614721039, 44.22733228443135, -76.48880358865769, 44.22761487245403, -76.48915021697523, 44.227465781392794, ""type"": ""MultiLineString""}","44.2273859579334,-76.48966682296295",44.2273859579334,-76.48966682296295,"Rectangle(xmin=-76.5038608820825, ymin=44.16955759068476, xmax=-76.47532885378557, ymax=44.28535222829269)",2019-01-01,2019-12-31,364 days 00:00:00.000000000,2018-01-01,0,1163
123,City Engineering,Road Rehabilitation,Mill and Pave,Project Complete,McMahon Ave Mill and Pave,2019-01-01,2019-12-31,2019-01-01,2019-12-31,2019-01-01,2019-12-31,Mill and Pave of McMahon Ave,,4678," -76.5253529086231, 44.249860942758936, -76.52408614033445, 44.249932165236814, -76.5217015610056, 44.24999111775565, ""type"": ""LineString""}","44.24993904180893,-76.5235277613015",44.24993904180893,-76.5235277613015,"Rectangle(xmin=-76.53882764349522, ymin=44.191976388736926, xmax=-76.50822682613348, ymax=44.30787567177766)",2019-01-01,2019-12-31,364 days 00:00:00.000000000,2018-01-01,0,585
125,City Engineering,New Bridge and Road Construction,New Road Construction,Project Complete,Bayridge Drive Extension,,,2015-01-01,2015-12-31,2015-01-01,2015-12-31,Bayridge Drive extension from Sierra to Creekford,https://www.cityofkingston.ca/city-hall/projects-construction/infrastructure-projects,7," -76.5843734227586, 44.2720892119983, -76.58441980259998, 44.27514462521828, -76.58445542170655, 44.278950735566724, ""type"": ""LineString""}","44.27551991326908,-76.58441935450311",44.27551991326908,-76.58441935450311,"Rectangle(xmin=-76.59793015657867, ymin=44.21395409324261, xmax=-76.57089868788648, ymax=44.33708585432241)",2015-01-01,2015-12-31,364 days 00:00:00.000000000,2014-01-01,0,0
126,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2018 Watermain Relining Project,2017-01-01,2017-12-31,2018-01-01,2018-12-31,,,"Watermain Relining on Champlain Ave, from Portsmouth Ave to Indian Rd",,91," -76.53002866646193, 44.255123285788045, -76.52886055661985, 44.25517638316311, -76.52876611670439, 44.25518074169268, -76.52859254240362, 44.25518982175544, -76.52856594606438, 44.255190741313946, -76.52769141812199, 44.25523622920718, -76.52711588676692, 44.25509763804746, -76.52693117777706, 44.255053970838496, ""type"": ""LineString""}","44.25516961956944,-76.52847214100716",44.25516961956944,-76.52847214100716,"Rectangle(xmin=-76.54350340133405, ymin=44.197149674917064, xmax=-76.51345644290494, ymax=44.31314052512861)",2018-01-01,2018-12-31,364 days 00:00:00.000000000,2017-01-01,0,0
127,Utilities Kingston,Utilities Replacement,Water,Project Complete,Watermain Replacement on Princess St,2016-01-01,2016-12-31,2016-01-01,2016-12-31,,,Princess St Watermain Replacement from Parkway to CN Overpass,,123," -76.5361911029747, 44.25279945337498, -76.53542557499536, 44.2524187150871, ""type"": ""LineString""}","44.25260908423104,-76.53580833898502",44.25260908423104,-76.53580833898502,"Rectangle(xmin=-76.54966583784682, ymin=44.194488379070535, xmax=-76.52195084012324, ymax=44.31072978939155)",2016-01-01,2016-12-31,365 days 00:00:00.000000000,2015-01-01,0,0
128,Utilities Kingston,Utilities Replacement,Water,Project Complete,Fortune Crescent & Venture Dr. Watermain,2017-01-01,2017-12-31,2017-01-01,2017-12-31,,,Install approx. 505m of 400mm watermain in support of growth for Cat. Estates Business Park,,167," -76.56877411855753, 44.27196771390062, -76.56869337126138, 44.271967025157025, -76.56735637097123, 44.271955606443946, -76.56582925719336, 44.27194254560401, -76.56563515563461, 44.27194088436413, -76.5655434970252, 44.272011066852635, -76.56551782479261, 44.27199481365636, -76.56528327592902, 44.27185812484945, -76.56482527648554, 44.27185680989292, -76.564205739233, 44.27186404380921, -76.56407803925266, 44.27187052924468, -76.56379543486587, 44.27190418203913, -76.56354575272881, 44.27194221891701, -76.56339257043706, 44.27196568367394, -76.56275071794795, 44.27206400221303, -76.56256954140451, 44.272093280429885, ""type"": ""LineString""}","44.271941252792715,-76.56566348231718",44.271941252792715,-76.56566348231718,"Rectangle(xmin=-76.58224885342965, ymin=44.21378838912887, xmax=-76.5490948065324, ymax=44.33016170119393)",2017-01-01,2017-12-31,364 days 00:00:00.000000000,2016-01-01,0,0
