,ID,Accident Date,Accident Time,Intersection ID,Roadway,Intersection,RIMS ID,From Street,Street,Street.1,To Street,01 Accident Location,02 Impact Location,03 Thru Lane Number,04 Environmental Condition,05 Environmental Condition,06 Light,07 Traffic Control,08 Traffic Control Condition,15 Road Surface Condition,16 Road Surface Condition,17 Road Alignment,18 Road Alignment,21 Vehicle Type,22 Vehicle Type,33 Apparent Driver Action,34 Apparent Driver Action,35 Driver Condition,36 Driver Condition,37 Pedestrian Condition,38 Pedestrian Condition,39 Pedestrian Action,40 Pedestrian Action,41 Road Jurisdiction,42 Classification of Accident,43 Initial Direction of Travel,44 Initial Direction of Travel,45 Initial Impact Type,46 Vehicle Manoeuver,47 Vehicle Manoeuver,In Vehicle Injuries,Total Fatalities,Total Injuries,Pedestrian Injuries,Total Vehicles Involved,Cyclist Injuries,INTERSECT,coordinates
21,18-512,2018-03-21, 11:15:00 AM,909559,COLLINS BAY ROAD,Woodbine Road,,,,WOODBINE RD,,3.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0.0,"COLLINS BAY ROAD @ Woodbine Road, Kingston, Ontario","[44.2568286, -76.6110497]"
22,16-27629,2016-10-13, 8:00:00 AM,909559,COLLINS BAY ROAD,Woodbine Road,,,,WOODBINE RD,,3.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,2,0.0,"COLLINS BAY ROAD @ Woodbine Road, Kingston, Ontario","[44.2568286, -76.6110497]"
23,17-5051,2017-01-03, 1:20:00 PM,909559,COLLINS BAY ROAD,Woodbine Road,,,,WOODBINE RD,,3.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,2,,"COLLINS BAY ROAD @ Woodbine Road, Kingston, Ontario","[44.2568286, -76.6110497]"
24,16-30486,2016-05-10, 1:40:00 PM,909466,BAYRIDGE DRIVE,Woodbine Road,,,,WOODBINE RD,,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2,,"BAYRIDGE DRIVE @ Woodbine Road, Kingston, Ontario","[44.2588645, -76.5840089]"
25,17-10120,2017-04-19, 7:45:00 AM,909466,BAYRIDGE DRIVE,Woodbine Road,,,,WOODBINE RD,,3.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,2,,"BAYRIDGE DRIVE @ Woodbine Road, Kingston, Ontario","[44.2588645, -76.5840089]"
26,17-5057,2017-01-03, 7:00:00 PM,909466,BAYRIDGE DRIVE,Woodbine Road,,,,WOODBINE RD,,3.0,1.0,0.0,1.0,0.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,5.0,4.0,10.0,0.0,0.0,0.0,0.0,2,,"BAYRIDGE DRIVE @ Woodbine Road, Kingston, Ontario","[44.2588645, -76.5840089]"
27,17-19525,2017-06-26, 6:00:00 PM,,,,9465,OLD COLONY RD,BAYRIDGE DR,WOODBINE RD,WOODBINE RD,1.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,"OLD COLONY RD @ BAYRIDGE DR, Kingston, Ontario","[44.2553823, -76.5866056]"
28,18-7559,2018-02-03, 9:00:00 AM,,,,34102,CREEK,WOODBINE RD,WOODBINE RD,WESTERLY TO BEND,1.0,10.0,0.0,3.0,0.0,1.0,10.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,"CREEK @ WOODBINE RD, Kingston, Ontario","[44.2570108, -76.6105073]"
29,18-313,2018-06-02, 8:35:00 AM,,,,33090,LIMESTONE DR,WOODBINE RD,WOODBINE RD,WISE ST  (WEST),1.0,2.0,1.0,3.0,0.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,2,0.0,"LIMESTONE DR @ WOODBINE RD, Kingston, Ontario","[44.2585252, -76.59520309999999]"
30,18-33494,2018-04-09, 3:30:00 PM,903214,YONGE STREET,Wolfe Street,,,,WOLFE ST,,3.0,1.0,0.0,1.0,0.0,1.0,10.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,"YONGE STREET @ Wolfe Street, Kingston, Ontario","[44.2297413, -76.5184232]"
