Organization,Capital Program,Program Subclass,Project Status,Project Title,Project Description,Project Planning From,Project Planning To,Planned Construction From,Planned Construction To,Construction Completion From,Construction Completion To,Project URL,SDE ID,GeoJSON,geo_point_2d
City Engineering,Storm System Improvements,Drainage Improvements,In Planning and Design Phase,Front Rd And Horsey Bay Shoreline Restoration,Front Rd And Horsey Bay Shoreline Restoration,2020-01-01,2020-12-31,2024-01-01T00:00:00-05:00,2024-12-31T00:00:00-05:00,,,,46585,"{""coordinates"": [-76.58386630195938, 44.21866395261132], ""type"": ""Point""}","44.21866395261132,-76.58386630195938"
Utilities Kingston,Utilities Replacement,Electrical,In Planning and Design Phase,Conacher Drive Townhomes Development,Electrical Underground Distribution Expansion,,,2019-12-31T00:00:00-05:00,2020-12-31T00:00:00-05:00,,,,97134,"{""coordinates"": [-76.4926479304506, 44.26710475859008], ""type"": ""Point""}","44.26710475859008,-76.4926479304506"
Utilities Kingston,Utilities Replacement,Electrical,In Planning and Design Phase,Electric 44kV Switch Replacement Program,"Replace three 44kV overhead manual switches; 2 existing locations (M7-73, M9-93), 1 new location",2019-01-01,2019-12-31,2020-01-01T00:00:00-05:00,2020-12-31T00:00:00-05:00,,,,74735,"{""coordinates"": [-76.5255632807113, 44.22436162686647], ""type"": ""Point""}","44.22436162686647,-76.5255632807113"
Parks and Development,Parks and Development,Existing Parks,Project Complete,West Park,"Improvements to the playground equipment, new safety surfacing and basketball pad updates are planned for West Park.",,,2018-03-31T00:00:00-04:00,2018-11-30T00:00:00-05:00,,,,818,"{""coordinates"": [-76.59674100735045, 44.235733295156315], ""type"": ""Point""}","44.235733295156315,-76.59674100735045"
Utilities Kingston,Utilities Replacement,Electrical,In Planning and Design Phase,Electric 44kV Switch Replacement Program,"Replace three 44kV overhead manual switches; 2 existing locations (M7-73, M9-93), 1 new location",2019-01-01,2019-12-31,2020-01-01T00:00:00-05:00,2020-12-31T00:00:00-05:00,,,,74736,"{""coordinates"": [-76.51359340460519, 44.2309447237922], ""type"": ""Point""}","44.2309447237922,-76.51359340460519"
Utilities Kingston,Utilities Facility Upgrade,Water,In Planning and Design Phase,Water - Purdys Court,Booster Station Decommissioning,,,2021-01-01T00:00:00-05:00,2021-12-31T00:00:00-05:00,,,,77303,"{""coordinates"": [-76.54338197854572, 44.25838062633557], ""type"": ""Point""}","44.25838062633557,-76.54338197854572"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Marian Crescent Storm System Improvements,Marian Crescent Storm System Improvements,,,2020-01-02T00:00:00-05:00,2020-12-30T00:00:00-05:00,,,,98414,"{""coordinates"": [-76.42672808712047, 44.29968035109532], ""type"": ""Point""}","44.29968035109532,-76.42672808712047"
Utilities Kingston,Utilties Rehabilitation,Water,Under Construction,Tower Street Water Tower Coating Replacement,Tower is due for rehabilitation in order to extend and maximize the lifespan,2018-01-01,2018-12-31,2017-12-31T00:00:00-05:00,2018-12-30T00:00:00-05:00,,,https://utilitieskingston.com/Projects/Detail/TowerStreetWaterTower,173,"{""coordinates"": [-76.5067251081338, 44.24038357224804], ""type"": ""Point""}","44.24038357224804,-76.5067251081338"
Parks and Development,Parks and Development,Existing Parks,Project Complete,Shannon Corners Park,"Renovation of the ball diamond, with grading, fencing and sodding, sports field lighting upgrades and landscaping and tree planting",,,2017-01-01T00:00:00-05:00,2017-12-31T00:00:00-05:00,2018-01-01,2018-12-31,,66,"{""coordinates"": [-76.50179631161265, 44.31818950858084], ""type"": ""Point""}","44.31818950858084,-76.50179631161265"
City Engineering,Storm System Improvements,Drainage Improvements,In Planning and Design Phase,Dunham Park Culvert & Pathway Upgrades,Dunham Park Culvert & Pathway Upgrades,,,2020-10-01T00:00:00-04:00,2022-12-30T00:00:00-05:00,,,,98734,"{""coordinates"": [-76.60210116968292, 44.255174093667776], ""type"": ""Point""}","44.255174093667776,-76.60210116968292"
Parks and Development,Parks and Development,New Parks,Pre-Planning,Woodhaven - Community Park,Future new park.  Design 2022. Construction 2023.,,,2022-01-15T00:00:00-05:00,2023-12-15T00:00:00-05:00,,,,47538,"{""coordinates"": [-76.59154872066829, 44.270937614816035], ""type"": ""Point""}","44.270937614816035,-76.59154872066829"
